"Pathway","Total","Expected","Hits","Pval"
"post-Golgi vesicle-mediated transport",79,0.746,1,0.763
"sphingolipid biosynthetic process",80,0.756,1,0.767
"monovalent inorganic cation homeostasis",80,0.756,1,0.767
"calcium ion transport",300,2.83,3,0.778
"regulation of cellular component size",192,1.81,2,0.78
"metal ion transport",631,5.96,6,0.791
"protein secretion",196,1.85,2,0.793
"energy reserve metabolic process",199,1.88,2,0.804
"regulation of cytokine secretion",88,0.831,1,0.808
"icosanoid metabolic process",89,0.841,1,0.811
"smooth muscle contraction",89,0.841,1,0.811
"carbohydrate biosynthetic process",203,1.92,2,0.812
"hormone metabolic process",203,1.92,2,0.812
"translational initiation",205,1.94,2,0.815
"meiosis I",91,0.86,1,0.815
"circadian rhythm",91,0.86,1,0.815
"negative regulation of immune system process",207,1.96,2,0.822
"cellular cation homeostasis",433,4.09,4,0.823
"endoplasmic reticulum unfolded protein response",93,0.879,1,0.823
"positive regulation of angiogenesis",94,0.888,1,0.826
"glucan metabolic process",95,0.898,1,0.83
"cofactor metabolic process",331,3.13,3,0.847
"cellular amino acid metabolic process",670,6.33,6,0.849
"cellular amino acid metabolic process",670,6.33,6,0.849
"transition metal ion transport",100,0.945,1,0.849
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",218,2.06,2,0.849
"maintenance of protein location in cell",101,0.954,1,0.853
"lipid homeostasis",103,0.973,1,0.862
"inflammatory response",569,5.38,5,0.865
"regulation of cell shape",106,1,1,0.873
"actin filament polymerization",107,1.01,1,0.875
"regulation of actin polymerization or depolymerization",107,1.01,1,0.875
"peptide metabolic process",108,1.02,1,0.875
"catabolic process",2560,24.2,23,0.875
"regulation of actin filament length",108,1.02,1,0.875
"striated muscle contraction",108,1.02,1,0.875
"rRNA processing",109,1.03,1,0.877
"nucleotide biosynthetic process",352,3.33,3,0.88
"monovalent inorganic cation transport",353,3.34,3,0.88
"cellular biosynthetic process",7800,73.7,72,0.88
"ER-nucleus signaling pathway",111,1.05,1,0.88
"nucleosome assembly",112,1.06,1,0.882
"maintenance of location in cell",112,1.06,1,0.882
"regulation of protein polymerization",115,1.09,1,0.892
"cellular polysaccharide metabolic process",115,1.09,1,0.892
"cellular modified amino acid metabolic process",241,2.28,2,0.893
"maintenance of protein location",116,1.1,1,0.893
"cell maturation",117,1.11,1,0.896
"rRNA metabolic process",118,1.11,1,0.899
"DNA recombination",247,2.33,2,0.904
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway",120,1.13,1,0.904
"Rho protein signal transduction",121,1.14,1,0.907
"regulation of chromosome organization",122,1.15,1,0.909
"polysaccharide metabolic process",126,1.19,1,0.918
"triglyceride metabolic process",126,1.19,1,0.918
"cation transport",851,8.04,7,0.918
"regulation of muscle contraction",127,1.2,1,0.918
"positive regulation of cell adhesion",127,1.2,1,0.918
"glycerophospholipid biosynthetic process",255,2.41,2,0.918
"cation transport",851,8.04,7,0.918
"membrane lipid biosynthetic process",130,1.23,1,0.928
"digestion",132,1.25,1,0.933
"regulation of cytokine production",513,4.85,4,0.934
"coenzyme metabolic process",266,2.51,2,0.934
"coenzyme biosynthetic process",133,1.26,1,0.934
"glycoprotein biosynthetic process",393,3.71,3,0.936
"negative regulation of secretion",135,1.28,1,0.937
"actin polymerization or depolymerization",136,1.28,1,0.938
"fatty acid metabolic process",397,3.75,3,0.939
"RNA processing",890,8.41,7,0.954
"amino acid transport",143,1.35,1,0.954
"receptor-mediated endocytosis",142,1.34,1,0.954
"protein-DNA complex assembly",143,1.35,1,0.954
"lipid biosynthetic process",776,7.33,6,0.957
"regulation of protein secretion",145,1.37,1,0.957
"phospholipid biosynthetic process",285,2.69,2,0.962
"sulfur compound biosynthetic process",155,1.46,1,0.983
"regulation of neurotransmitter levels",157,1.48,1,0.987
"protein targeting to membrane",158,1.49,1,0.988
"cellular protein complex disassembly",160,1.51,1,0.992
"regulation of blood pressure",164,1.55,1,0.998
"regulation of cytoskeleton organization",306,2.89,2,0.998
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",164,1.55,1,0.998
"translation",698,6.6,5,0.999
"cellular amino acid catabolic process",166,1.57,1,0.999
"protein complex disassembly",167,1.58,1,0.999
"cellular biogenic amine metabolic process",167,1.58,1,0.999
"positive regulation of cytokine production",268,2.53,1,1
"system process",2170,20.5,12,1
"alcohol metabolic process",388,3.67,2,1
"organic acid metabolic process",1430,13.5,9,1
"nucleobase-containing compound metabolic process",8180,77.3,70,1
"nucleobase-containing compound metabolic process",8180,77.3,70,1
"purine nucleotide metabolic process",844,7.97,3,1
"RNA catabolic process",256,2.42,1,1
"lipid metabolic process",1730,16.3,9,1
"membrane lipid metabolic process",233,2.2,1,1
"phospholipid metabolic process",463,4.37,3,1
"glycerophospholipid metabolic process",327,3.09,2,1
"sphingolipid metabolic process",173,1.63,1,1
"nitrogen compound metabolic process",9380,88.6,75,1
"transport",4830,45.7,39,1
"ion transport",1340,12.7,8,1
"anion transport",374,3.53,1,1
"lipid transport",268,2.53,1,1
"signal transduction",6310,59.6,53,1
"G-protein coupled receptor signaling pathway",779,7.36,2,1
"synaptic transmission",765,7.23,5,1
"steroid metabolic process",361,3.41,2,1
"biosynthetic process",8090,76.4,72,1
"glycoprotein metabolic process",458,4.33,3,1
"nucleotide metabolic process",1040,9.85,4,1
"purine ribonucleotide metabolic process",787,7.44,3,1
"ribonucleotide metabolic process",805,7.61,4,1
"amine metabolic process",268,2.53,1,1
"organic acid transport",246,2.32,1,1
"transmission of nerve impulse",871,8.23,6,1
"carboxylic acid metabolic process",1270,12,9,1
"monocarboxylic acid metabolic process",567,5.36,3,1
"macromolecular complex disassembly",189,1.79,1,1
"macromolecule metabolic process",12000,114,88,1
"cellular catabolic process",2140,20.3,16,1
"cellular lipid metabolic process",1200,11.4,6,1
"cellular macromolecule metabolic process",10800,102,85,1
"heterocycle metabolic process",8430,79.7,71,1
"regulation of Ras protein signal transduction",302,2.85,1,1
"carboxylic acid transport",246,2.32,1,1
"neurological system process",1480,14,8,1
"positive regulation of secretion",246,2.32,1,1
"regulation of small GTPase mediated signal transduction",444,4.2,2,1
"establishment of localization",4910,46.4,40,1
"cellular response to stimulus",8010,75.7,70,1
"sulfur compound metabolic process",313,2.96,2,1
"cell-cell signaling",1310,12.3,10,1
"maintenance of location",192,1.81,1,1
"cellular aromatic compound metabolic process",8460,79.9,71,1
"cellular nitrogen compound catabolic process",986,9.32,4,1
